frame_index,seq,header_stamp
0,72657,1354.963607000
1,72658,1354.978253000
2,72659,1354.996658000
3,72660,1355.011942000
4,72661,1355.030441000
5,72662,1355.044887000
6,72663,1355.062196000
7,72664,1355.078824000
8,72665,1355.096866000
9,72666,1355.111778000
10,72667,1355.129708000
11,72668,1355.145277000
12,72669,1355.162718000
13,72670,1355.178250000
14,72671,1355.196566000
15,72672,1355.211881000
16,72673,1355.230186000
17,72674,1355.244848000
18,72675,1355.263498000
19,72676,1355.278796000
20,72677,1355.295283000
21,72678,1355.311439000
22,72679,1355.328884000
23,72680,1355.345013000
24,72681,1355.362175000
25,72682,1355.378248000
26,72683,1355.396363000
27,72684,1355.411917000
28,72685,1355.429934000
29,72686,1355.444688000
30,72687,1355.462471000
31,72688,1355.478679000
32,72689,1355.496645000
33,72690,1355.511312000
34,72691,1355.530015000
35,72692,1355.545349000
36,72693,1355.563528000
37,72694,1355.577934000
38,72695,1355.595576000
39,72696,1355.611881000
40,72697,1355.630041000
41,72698,1355.644754000
42,72699,1355.662154000
43,72700,1355.678312000
44,72701,1355.696663000
45,72702,1355.711195000
46,72703,1355.729780000
47,72704,1355.745045000
48,72705,1355.763507000
49,72706,1355.777763000
50,72707,1355.796768000
51,72708,1355.812102000
52,72709,1355.830275000
53,72710,1355.844567000
54,72711,1355.862248000
55,72712,1355.878905000
56,72713,1355.895476000
57,72714,1355.911113000
58,72715,1355.929544000
59,72716,1355.945316000
60,72717,1355.963814000
61,72718,1355.977701000
62,72719,1355.996511000
63,72720,1356.011726000
64,72721,1356.029834000
65,72722,1356.044278000
66,72723,1356.063379000
67,72724,1356.078581000
68,72725,1356.096831000
69,72726,1356.111037000
70,72727,1356.128806000
71,72728,1356.145546000
72,72729,1356.162094000
73,72730,1356.177638000
74,72731,1356.195655000
75,72732,1356.211818000
76,72733,1356.229706000
77,72734,1356.244194000
78,72735,1356.262054000
79,72736,1356.278580000
80,72737,1356.296613000
81,72738,1356.310791000
82,72739,1356.329953000
83,72740,1356.345195000
84,72741,1356.363573000
85,72742,1356.377705000
86,72743,1356.395217000
