frame_index,seq,header_stamp
0,465485,7907.793335000
1,465486,7907.808669000
2,465487,7907.826780000
3,465488,7907.845040000
4,465489,7907.860232000
5,465490,7907.874807000
6,465491,7907.892823000
7,465492,7907.911625000
8,465493,7907.926636000
9,465494,7907.942325000
10,465495,7907.960100000
11,465496,7907.978520000
12,465497,7907.994596000
13,465498,7908.008375000
14,465499,7908.026323000
15,465500,7908.042011000
16,465501,7908.059995000
17,465502,7908.074774000
18,465503,7908.093417000
19,465504,7908.112679000
20,465505,7908.126345000
21,465506,7908.141420000
22,465507,7908.159577000
23,465508,7908.177952000
24,465509,7908.193084000
25,465510,7908.208478000
26,465511,7908.226672000
27,465512,7908.244938000
28,465513,7908.259593000
29,465514,7908.274829000
30,465515,7908.292719000
31,465516,7908.311551000
32,465517,7908.326423000
33,465518,7908.341286000
34,465519,7908.359915000
35,465520,7908.378511000
36,465521,7908.392541000
37,465522,7908.408151000
38,465523,7908.426218000
39,465524,7908.444565000
40,465525,7908.459747000
41,465526,7908.474481000
42,465527,7908.493090000
43,465528,7908.511726000
44,465529,7908.525869000
45,465530,7908.541375000
46,465531,7908.559479000
47,465532,7908.577868000
48,465533,7908.593043000
49,465534,7908.608404000
50,465535,7908.626272000
51,465536,7908.643433000
52,465537,7908.659239000
53,465538,7908.674759000
54,465539,7908.692082000
55,465540,7908.712530000
56,465541,7908.726377000
57,465542,7908.741048000
58,465543,7908.759452000
59,465544,7908.778124000
60,465545,7908.791852000
61,465546,7908.808036000
62,465547,7908.826093000
63,465548,7908.844644000
64,465549,7908.859616000
65,465550,7908.874162000
66,465551,7908.892491000
67,465552,7908.911492000
68,465553,7908.925735000
69,465554,7908.941307000
70,465555,7908.959482000
71,465556,7908.978156000
72,465557,7908.992785000
73,465558,7909.007480000
74,465559,7909.025740000
75,465560,7909.044678000
76,465561,7909.059099000
77,465562,7909.074463000
78,465563,7909.091825000
79,465564,7909.111401000
80,465565,7909.127257000
81,465566,7909.140743000
82,465567,7909.161332000
83,465568,7909.177105000
84,465569,7909.191715000
85,465570,7909.207839000
86,465571,7909.225991000
87,465572,7909.242940000
88,465573,7909.259420000
89,465574,7909.274029000
90,465575,7909.291685000
91,465576,7909.312136000
92,465577,7909.325727000
93,465578,7909.340980000
94,465579,7909.359349000
95,465580,7909.377823000
96,465581,7909.392272000
97,465582,7909.407632000
98,465583,7909.425541000
99,465584,7909.444010000
100,465585,7909.459032000
101,465586,7909.474222000
102,465587,7909.491650000
103,465588,7909.511320000
104,465589,7909.525513000
105,465590,7909.540760000
106,465591,7909.558829000
107,465592,7909.577699000
108,465593,7909.591734000
109,465594,7909.607056000
110,465595,7909.625933000
111,465596,7909.644546000
112,465597,7909.659351000
113,465598,7909.673941000
114,465599,7909.691467000
115,465600,7909.710842000
116,465601,7909.725710000
117,465602,7909.740604000
118,465603,7909.759168000
119,465604,7909.777530000
120,465605,7909.791600000
121,465606,7909.807289000
122,465607,7909.825321000
123,465608,7909.841143000
124,465609,7909.859072000
125,465610,7909.873839000
126,465611,7909.891545000
127,465612,7909.912087000
128,465613,7909.925530000
129,465614,7909.940589000
130,465615,7909.958680000
131,465616,7909.977614000
132,465617,7909.991409000
133,465618,7910.006806000
134,465619,7910.025856000
135,465620,7910.044420000
136,465621,7910.056551000
137,465622,7910.073505000
138,465623,7910.091433000
139,465624,7910.110704000
140,465625,7910.125599000
141,465626,7910.140426000
142,465627,7910.156506000
143,465628,7910.177688000
144,465629,7910.189800000
145,465630,7910.207221000
146,465631,7910.225433000
147,465632,7910.243892000
148,465633,7910.256729000
149,465634,7910.273736000
150,465635,7910.289835000
151,465636,7910.311073000
152,465637,7910.323550000
153,465638,7910.340583000
154,465639,7910.356643000
155,465640,7910.377515000
156,465641,7910.390114000
157,465642,7910.407273000
158,465643,7910.423530000
159,465644,7910.443447000
160,465645,7910.456661000
161,465646,7910.473586000
162,465647,7910.489935000
163,465648,7910.511720000
164,465649,7910.523403000
165,465650,7910.540427000
166,465651,7910.556615000
167,465652,7910.577673000
168,465653,7910.589994000
169,465654,7910.607220000
170,465655,7910.623241000
171,465656,7910.644044000
172,465657,7910.656833000
173,465658,7910.673743000
174,465659,7910.689931000
175,465660,7910.711124000
176,465661,7910.723419000
177,465662,7910.740146000
178,465663,7910.756368000
179,465664,7910.777120000
180,465665,7910.789993000
181,465666,7910.806896000
182,465667,7910.823127000
183,465668,7910.844141000
184,465669,7910.856587000
185,465670,7910.873377000
186,465671,7910.889689000
187,465672,7910.910628000
188,465673,7910.923320000
189,465674,7910.940203000
190,465675,7910.956572000
191,465676,7910.977719000
192,465677,7910.989947000
193,465678,7911.006621000
194,465679,7911.023057000
195,465680,7911.042660000
196,465681,7911.056597000
197,465682,7911.072816000
198,465683,7911.089766000
199,465684,7911.111643000
200,465685,7911.123218000
201,465686,7911.139752000
202,465687,7911.156328000
203,465688,7911.177182000
204,465689,7911.189761000
205,465690,7911.206629000
206,465691,7911.222978000
207,465692,7911.243872000
208,465693,7911.256462000
209,465694,7911.273069000
210,465695,7911.289729000
211,465696,7911.310702000
212,465697,7911.323221000
213,465698,7911.339358000
214,465699,7911.356374000
215,465700,7911.377250000
216,465701,7911.389677000
217,465702,7911.406478000
218,465703,7911.422841000
219,465704,7911.443832000
220,465705,7911.456174000
221,465706,7911.473158000
222,465707,7911.489681000
223,465708,7911.510616000
224,465709,7911.522602000
225,465710,7911.539606000
226,465711,7911.559492000
227,465712,7911.576977000
228,465713,7911.589505000
229,465714,7911.606190000
230,465715,7911.622817000
231,465716,7911.642595000
232,465717,7911.655953000
233,465718,7911.672980000
234,465719,7911.689248000
235,465720,7911.711188000
236,465721,7911.723112000
237,465722,7911.739248000
238,465723,7911.756063000
239,465724,7911.777144000
240,465725,7911.789379000
241,465726,7911.806235000
242,465727,7911.822533000
243,465728,7911.843682000
244,465729,7911.856310000
245,465730,7911.872275000
246,465731,7911.889358000
247,465732,7911.910505000
248,465733,7911.922641000
249,465734,7911.939491000
250,465735,7911.955849000
251,465736,7911.977154000
252,465737,7911.989484000
253,465738,7912.005970000
254,465739,7912.022594000
255,465740,7912.043604000
256,465741,7912.055967000
257,465742,7912.072743000
258,465743,7912.089110000
259,465744,7912.110353000
260,465745,7912.122717000
261,465746,7912.138674000
262,465747,7912.155916000
263,465748,7912.176903000
264,465749,7912.188979000
265,465750,7912.205981000
266,465751,7912.222415000
267,465752,7912.242262000
268,465753,7912.256001000
269,465754,7912.271910000
270,465755,7912.289238000
271,465756,7912.311450000
272,465757,7912.322743000
273,465758,7912.338863000
274,465759,7912.355803000
275,465760,7912.375694000
276,465761,7912.389236000
277,465762,7912.405185000
278,465763,7912.422498000
279,465764,7912.443590000
280,465765,7912.455573000
281,465766,7912.472194000
282,465767,7912.489116000
283,465768,7912.509008000
284,465769,7912.522436000
285,465770,7912.538892000
286,465771,7912.555797000
287,465772,7912.576853000
288,465773,7912.588946000
289,465774,7912.605600000
290,465775,7912.622502000
291,465776,7912.642426000
292,465777,7912.655715000
293,465778,7912.672247000
294,465779,7912.689050000
295,465780,7912.710070000
296,465781,7912.721968000
297,465782,7912.739003000
298,465783,7912.755527000
299,465784,7912.776754000
300,465785,7912.788889000
301,465786,7912.805958000
302,465787,7912.821995000
303,465788,7912.840912000
304,465789,7912.855438000
305,465790,7912.871579000
306,465791,7912.888972000
307,465792,7912.911081000
308,465793,7912.922664000
309,465794,7912.938614000
310,465795,7912.955506000
311,465796,7912.976691000
312,465797,7912.988868000
313,465798,7913.004763000
314,465799,7913.022250000
315,465800,7913.041101000
316,465801,7913.055615000
317,465802,7913.071621000
318,465803,7913.088535000
319,465804,7913.108819000
320,465805,7913.122283000
321,465806,7913.138041000
322,465807,7913.155602000
323,465808,7913.174393000
324,465809,7913.189001000
325,465810,7913.204914000
326,465811,7913.221864000
327,465812,7913.242103000
328,465813,7913.255576000
329,465814,7913.271325000
330,465815,7913.288893000
331,465816,7913.309728000
332,465817,7913.322199000
333,465818,7913.337971000
334,465819,7913.355129000
335,465820,7913.375413000
336,465821,7913.388748000
337,465822,7913.404545000
338,465823,7913.421883000
339,465824,7913.440755000
340,465825,7913.454849000
341,465826,7913.471863000
342,465827,7913.488358000
343,465828,7913.510488000
344,465829,7913.522120000
345,465830,7913.537846000
346,465831,7913.555416000
347,465832,7913.575192000
348,465833,7913.588586000
349,465834,7913.604547000
350,465835,7913.621849000
351,465836,7913.643014000
352,465837,7913.655278000
353,465838,7913.671687000
354,465839,7913.688596000
355,465840,7913.708331000
356,465841,7913.722137000
357,465842,7913.738023000
358,465843,7913.755138000
359,465844,7913.774179000
360,465845,7913.788799000
361,465846,7913.804929000
362,465847,7913.822146000
363,465848,7913.843111000
364,465849,7913.855566000
365,465850,7913.871367000
366,465851,7913.888515000
367,465852,7913.908171000
368,465853,7913.921917000
369,465854,7913.938164000
370,465855,7913.953990000
371,465856,7913.976344000
372,465857,7913.988870000
373,465858,7914.004858000
374,465859,7914.021712000
375,465860,7914.039385000
376,465861,7914.055221000
377,465862,7914.071550000
378,465863,7914.087208000
379,465864,7914.110717000
380,465865,7914.122505000
381,465866,7914.138337000
382,465867,7914.154955000
383,465868,7914.174720000
384,465869,7914.187130000
385,465870,7914.205046000
386,465871,7914.220500000
387,465872,7914.242849000
