frame_index,seq,header_stamp
0,484903,8231.209677000
1,484904,8231.226936000
2,484905,8231.243046000
3,484906,8231.263967000
4,484907,8231.276530000
5,484908,8231.296197000
6,484909,8231.309731000
7,484910,8231.327114000
8,484911,8231.342941000
9,484912,8231.360155000
10,484913,8231.376237000
11,484914,8231.396873000
12,484915,8231.409880000
13,484916,8231.426758000
14,484917,8231.442823000
15,484918,8231.462592000
16,484919,8231.476166000
17,484920,8231.493117000
18,484921,8231.509484000
19,484922,8231.529123000
20,484923,8231.543011000
21,484924,8231.560025000
22,484925,8231.576152000
23,484926,8231.595840000
24,484927,8231.609423000
25,484928,8231.626423000
26,484929,8231.642846000
27,484930,8231.663594000
28,484931,8231.676546000
29,484932,8231.695464000
30,484933,8231.709361000
31,484934,8231.726809000
32,484935,8231.742674000
33,484936,8231.759682000
34,484937,8231.776163000
35,484938,8231.796676000
36,484939,8231.809690000
37,484940,8231.826603000
38,484941,8231.842596000
39,484942,8231.863762000
40,484943,8231.876454000
41,484944,8231.895960000
42,484945,8231.909514000
43,484946,8231.926624000
44,484947,8231.942577000
45,484948,8231.959887000
46,484949,8231.975859000
47,484950,8231.996831000
48,484951,8232.009601000
49,484952,8232.026571000
50,484953,8232.042734000
51,484954,8232.062017000
52,484955,8232.075762000
53,484956,8232.093055000
54,484957,8232.109166000
55,484958,8232.126373000
56,484959,8232.142465000
57,484960,8232.159401000
58,484961,8232.175838000
59,484962,8232.195050000
60,484963,8232.209083000
61,484964,8232.226390000
62,484965,8232.242348000
63,484966,8232.259989000
64,484967,8232.275854000
65,484968,8232.292866000
66,484969,8232.309068000
67,484970,8232.326359000
68,484971,8232.342296000
69,484972,8232.359662000
70,484973,8232.375617000
71,484974,8232.393096000
72,484975,8232.409138000
73,484976,8232.425986000
74,484977,8232.442314000
75,484978,8232.459550000
76,484979,8232.475498000
77,484980,8232.495522000
78,484981,8232.508823000
79,484982,8232.526271000
80,484983,8232.542373000
81,484984,8232.559359000
82,484985,8232.575520000
83,484986,8232.592887000
84,484987,8232.608780000
85,484988,8232.625788000
86,484989,8232.642134000
87,484990,8232.659544000
88,484991,8232.675569000
89,484992,8232.692618000
90,484993,8232.708722000
91,484994,8232.726133000
92,484995,8232.742024000
93,484996,8232.759032000
94,484997,8232.775412000
95,484998,8232.792843000
96,484999,8232.808710000
97,485000,8232.825792000
98,485001,8232.841926000
99,485002,8232.859371000
100,485003,8232.875259000
101,485004,8232.892370000
102,485005,8232.908767000
103,485006,8232.926145000
104,485007,8232.941951000
105,485008,8232.959124000
106,485009,8232.975202000
107,485010,8232.992652000
108,485011,8233.008517000
109,485012,8233.025801000
110,485013,8233.042076000
111,485014,8233.059349000
112,485015,8233.075124000
113,485016,8233.094565000
114,485017,8233.108408000
115,485018,8233.125707000
116,485019,8233.141735000
117,485020,8233.158877000
118,485021,8233.175222000
119,485022,8233.192188000
120,485023,8233.208347000
121,485024,8233.225910000
122,485025,8233.241679000
123,485026,8233.258986000
124,485027,8233.275064000
125,485028,8233.292054000
126,485029,8233.308479000
127,485030,8233.326083000
128,485031,8233.341627000
129,485032,8233.359093000
130,485033,8233.374925000
131,485034,8233.392246000
132,485035,8233.408380000
133,485036,8233.425674000
134,485037,8233.441546000
135,485038,8233.458879000
136,485039,8233.474823000
137,485040,8233.492130000
138,485041,8233.508175000
139,485042,8233.525669000
140,485043,8233.541697000
141,485044,8233.559050000
142,485045,8233.574884000
143,485046,8233.592279000
144,485047,8233.608165000
145,485048,8233.625776000
146,485049,8233.641399000
147,485050,8233.658998000
148,485051,8233.674944000
149,485052,8233.692805000
150,485053,8233.708079000
151,485054,8233.725814000
152,485055,8233.741309000
153,485056,8233.758389000
154,485057,8233.774679000
155,485058,8233.792128000
156,485059,8233.808111000
157,485060,8233.825750000
158,485061,8233.841245000
159,485062,8233.858850000
160,485063,8233.874551000
161,485064,8233.891772000
162,485065,8233.908022000
163,485066,8233.925591000
164,485067,8233.941264000
165,485068,8233.958729000
166,485069,8233.974517000
167,485070,8233.992205000
168,485071,8234.007782000
169,485072,8234.025525000
170,485073,8234.041332000
171,485074,8234.058873000
172,485075,8234.074467000
173,485076,8234.092699000
174,485077,8234.107700000
175,485078,8234.125369000
176,485079,8234.141058000
177,485080,8234.158313000
178,485081,8234.174540000
179,485082,8234.192502000
180,485083,8234.207675000
181,485084,8234.225239000
182,485085,8234.241004000
183,485086,8234.258516000
184,485087,8234.274314000
185,485088,8234.291847000
186,485089,8234.308265000
187,485090,8234.325190000
188,485091,8234.342225000
189,485092,8234.359243000
190,485093,8234.374661000
191,485094,8234.391786000
192,485095,8234.407996000
193,485096,8234.425180000
194,485097,8234.441691000
195,485098,8234.457790000
196,485099,8234.474151000
197,485100,8234.491482000
198,485101,8234.507683000
199,485102,8234.525924000
200,485103,8234.540929000
201,485104,8234.557850000
202,485105,8234.574133000
203,485106,8234.591359000
204,485107,8234.607626000
205,485108,8234.625133000
206,485109,8234.641757000
207,485110,8234.657991000
208,485111,8234.674230000
209,485112,8234.691226000
210,485113,8234.707421000
211,485114,8234.724762000
212,485115,8234.741810000
213,485116,8234.758788000
214,485117,8234.773970000
215,485118,8234.791226000
216,485119,8234.807580000
217,485120,8234.824959000
218,485121,8234.841762000
219,485122,8234.857766000
220,485123,8234.873853000
221,485124,8234.891538000
222,485125,8234.907265000
223,485126,8234.924627000
224,485127,8234.940701000
225,485128,8234.957790000
226,485129,8234.973821000
227,485130,8234.991275000
228,485131,8235.007124000
229,485132,8235.024830000
230,485133,8235.040541000
231,485134,8235.057878000
232,485135,8235.073781000
233,485136,8235.091047000
234,485137,8235.107013000
235,485138,8235.124778000
236,485139,8235.140306000
237,485140,8235.157417000
238,485141,8235.173780000
239,485142,8235.190772000
240,485143,8235.207034000
241,485144,8235.224841000
242,485145,8235.240588000
243,485146,8235.258005000
244,485147,8235.273642000
245,485148,8235.290746000
246,485149,8235.307255000
247,485150,8235.324672000
248,485151,8235.340233000
249,485152,8235.357727000
250,485153,8235.373550000
251,485154,8235.390829000
252,485155,8235.407022000
253,485156,8235.424799000
254,485157,8235.440405000
255,485158,8235.457461000
256,485159,8235.473432000
257,485160,8235.491228000
